date,platform,hook,cta,asset_type
2026-09-01,X,"I replaced 3 subscriptions with one $20 AI tool. Here's what changed.","Reply with your most annoying subscription",thread
2026-09-02,Instagram,"5 AI tools that save me 6 hours a week (screenshots included)","Save this post",carousel
2026-09-03,LinkedIn,"We cut our content review time from 2 days to 2 hours. Here's the AI tool stack.","Comment 'STACK' and I'll send the list",text post
2026-09-04,TikTok,"POV: you just found the AI tool that writes your emails for you","Follow for more",short-form video
2026-09-05,X,"Most people use ChatGPT wrong. Here's the prompt that changed my output.","Bookmark this",text post
2026-09-06,Instagram,"3 AI tools I'd pay for even if they doubled in price","Comment your favorite",reel
2026-09-07,LinkedIn,"The AI tool that finally killed my Sunday-night dread","Reply if you relate",text post
2026-09-08,TikTok,"Rating AI tools by how much time they actually save","Part 2 in comments",short-form video
2026-09-09,X,"AI tool #1: turns a 40-minute meeting into 4 bullet points","Which tool do you want next?",thread
2026-09-10,Instagram,"Before / after: my inbox with an AI tool doing the first pass","Save for later",carousel
2026-09-11,LinkedIn,"I tested 12 AI writing tools. Only 2 were worth the price.","Comment 'LIST' for the breakdown",text post
2026-09-12,TikTok,"The $10/month AI tool freelancers keep sleeping on","Follow for tool #2",short-form video
2026-09-13,X,"Stop paying for 5 AI tools that do the same thing.","Reply with your stack",text post
2026-09-14,Instagram,"This AI tool wrote my product descriptions in 90 seconds","DM 'DEMO' for the prompt",reel
2026-09-15,LinkedIn,"How one AI tool replaced a $2,000/month contractor","Comment your role and I'll suggest a tool",text post
2026-09-16,TikTok,"AI tools ranked from 'gimmick' to 'can't work without it'","Save this ranking",short-form video
2026-09-17,X,"The AI tool that catches my typos before my editor does","Reply with your biggest typo fail",text post
2026-09-18,Instagram,"5 AI tools under $15/month that pay for themselves in a week","Save this post",carousel
2026-09-19,LinkedIn,"Our team switched AI tools. Output went up, cost went down. Numbers inside.","Comment 'NUMBERS'",text post
2026-09-20,TikTok,"This AI tool turns one blog post into 10 social posts","Follow for the workflow",short-form video
2026-09-21,X,"I asked an AI tool to audit my own writing. It was brutal. It was right.","Reply if you want the prompt",text post
2026-09-22,Instagram,"The AI tool stack behind every post you've seen from me this month","Save + share with a friend",carousel
2026-09-23,LinkedIn,"3 AI tools that changed how I hire (screening, scheduling, follow-up)","Comment your hiring headache",text post
2026-09-24,TikTok,"Watch this AI tool build a landing page while I make coffee","Follow for the link",screen recording
2026-09-25,X,"The free AI tool that replaced my $99/month subscription","Reply 'WHICH' and I'll name it",text post
2026-09-26,Instagram,"AI tool comparison: the one everyone uses vs. the one that's actually better","Save this comparison",carousel
2026-09-27,LinkedIn,"What I stopped paying a VA for once I found the right AI tool","Comment your VA tasks",text post
2026-09-28,TikTok,"The AI tool glow-up nobody's talking about yet","Follow before it blows up",short-form video
2026-09-29,X,"AI tool micro-review: 30 seconds, does it actually work?","Reply with a tool to review next",text post
2026-09-30,Instagram,"Screenshot this AI tool list before I take the post down","Save now",single image
